VM,Powerstate,Template,SRM Placeholder,Disk,Disk Key,Disk Path,Capacity MiB,Raw,Disk Mode,Thin,Eagerly Scrub,Split,Write Through,Level,Shares,Reservation,Limit,Controller,Label,SCSI Unit #,Unit #,Shared Bus,Path,Raw LUN ID,Raw Comp. Mode,Internal Sort Column,Annotation,NB_LAST_BACKUP,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VMs,VI SDK Server,VI SDK UUID
ecbrprlx08,poweredOn,False,False,Hard disk 1,2000,,256000,False,persistent,True,False,False,False,normal,1000,0,-1,LSI Logic,SCSI controller 0,7,0,noSharing,[DiskLun_Servidores_PROD] ecbrprlx08/ecbrprlx08.vmdk,,,ecbrprlx08 2000,,"Sun Jul  6 02:00:10 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Cluster_BI",DCP,Cluster_BI,ecbrprsx31.bgr.com,/DCP,Ubuntu Linux (64-bit),,vm-7721,422ef8ce-e7dc-9a11-16f6-63e110900a8c,,172.20.1.174,172.20.1.174
ecbrprlx08,poweredOn,False,False,Hard disk 2,2001,,167936,False,persistent,True,False,False,False,normal,1000,0,-1,LSI Logic,SCSI controller 0,7,1,noSharing,[DiskLun_Servidores_PROD] ecbrprlx08/ecbrprlx08_1.vmdk,,,ecbrprlx08 2001,,"Sun Jul  6 02:00:10 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Cluster_BI",DCP,Cluster_BI,ecbrprsx31.bgr.com,/DCP,Ubuntu Linux (64-bit),,vm-7721,422ef8ce-e7dc-9a11-16f6-63e110900a8c,,172.20.1.174,172.20.1.174
ecbrprlx08,poweredOn,False,False,Hard disk 3,2002,,256000,False,persistent,True,False,False,False,normal,1000,0,-1,LSI Logic,SCSI controller 0,7,2,noSharing,[DiskLun_Servidores_PROD] ecbrprlx08/ecbrprlx08_2.vmdk,,,ecbrprlx08 2002,,"Sun Jul  6 02:00:10 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Cluster_BI",DCP,Cluster_BI,ecbrprsx31.bgr.com,/DCP,Ubuntu Linux (64-bit),,vm-7721,422ef8ce-e7dc-9a11-16f6-63e110900a8c,,172.20.1.174,172.20.1.174
ecbrprlx08,poweredOn,False,False,Hard disk 4,2003,,256000,False,persistent,True,False,False,False,normal,1000,0,-1,LSI Logic,SCSI controller 0,7,3,noSharing,[DiskLun_Servidores_PROD] ecbrprlx08/ecbrprlx08_3.vmdk,,,ecbrprlx08 2003,,"Sun Jul  6 02:00:10 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Cluster_BI",DCP,Cluster_BI,ecbrprsx31.bgr.com,/DCP,Ubuntu Linux (64-bit),,vm-7721,422ef8ce-e7dc-9a11-16f6-63e110900a8c,,172.20.1.174,172.20.1.174
ecbrprlx08,poweredOn,False,False,Hard disk 5,2004,,256000,False,persistent,True,False,False,False,normal,1000,0,-1,LSI Logic,SCSI controller 0,7,4,noSharing,[DiskLun_Servidores_PROD] ecbrprlx08/ecbrprlx08_4.vmdk,,,ecbrprlx08 2004,,"Sun Jul  6 02:00:10 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Cluster_BI",DCP,Cluster_BI,ecbrprsx31.bgr.com,/DCP,Ubuntu Linux (64-bit),,vm-7721,422ef8ce-e7dc-9a11-16f6-63e110900a8c,,172.20.1.174,172.20.1.174
ecbrprlxgmor,poweredOn,False,False,Hard disk 1,2000,/,61440,False,persistent,True,False,False,False,normal,1000,0,-1,LSI Logic,SCSI controller 0,7,0,noSharing,[DiskLun_3PAR8400_HPE_GMS] ecbrprlxgmor/ecbrprlxgmor.vmdk,,,ecbrprlxgmor 2000,,"Sun Jul  6 02:00:06 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Cluster_BI",DCP,Cluster_BI,ecbrprsx31.bgr.com,/DCP,Ubuntu Linux (64-bit),Ubuntu Linux (64-bit),vm-10576,422ee028-3af3-d957-2ed1-bd3326114f14,,172.20.1.174,172.20.1.174
ecbrprlxgmtr,poweredOn,False,False,Hard disk 1,2000,,512000,False,persistent,True,False,False,False,normal,1000,0,-1,LSI Logic,SCSI controller 0,7,0,noSharing,[DiskLun_3PAR8400_HPE_GMS] ecbrprlxgmtr/ecbrprlxgmtr.vmdk,,,ecbrprlxgmtr 2000,,"Sun Jul  6 02:00:07 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Cluster_BI",DCP,Cluster_BI,ecbrprsx31.bgr.com,/DCP,Ubuntu Linux (64-bit),CentOS 7 (64-bit),vm-10577,422ebf36-eb05-943e-3a0b-667c301c4832,,172.20.1.174,172.20.1.174
ecbrtsap1,poweredOn,False,False,Hard disk 1,2000,C:\,153600,False,persistent,True,False,False,False,normal,1000,0,-1,LSI Logic SAS,SCSI controller 0,7,0,noSharing,[DiskLun_Servidores_Test_Nimble_3] ecbrtsap1/ecbrtsap1_4.vmdk,,,ecbrtsap1 2000,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-4436,422eb1b7-91f5-d93d-d7f9-e45bf7d34740,,172.20.1.174,172.20.1.174
ecbrtsap1,poweredOn,False,False,Hard disk 2,2001,D:\,153600,False,persistent,True,False,False,False,normal,1000,0,-1,LSI Logic SAS,SCSI controller 0,7,1,noSharing,[DiskLun_Servidores_Test_Nimble_3] ecbrtsap1/ecbrtsap1_6.vmdk,,,ecbrtsap1 2001,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-4436,422eb1b7-91f5-d93d-d7f9-e45bf7d34740,,172.20.1.174,172.20.1.174
ecbrtsap2,poweredOn,False,False,Hard disk 1,2000,C:\,153600,False,persistent,True,False,False,False,normal,1000,0,-1,LSI Logic SAS,SCSI controller 0,7,0,noSharing,[DiskLun_Servidores_Test_Nimble_5] ecbrtsap2/ecbrtsap2_3.vmdk,,,ecbrtsap2 2000,,,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-3686,422e2271-bc90-cae2-b9cb-fb0235c6ba1c,,172.20.1.174,172.20.1.174
