Hierarchy,,Information,,Observed Storage,,Performance,,
Group Name,Asset,Server Name,Disk,Observed Disk Capacity (GB),Observed Disk Occupancy (GB),Observed Throughput (MBps),Peak IOPS,ID (server name + uid)
Physical Infrastructure,Default,ecbrprq74,I:,107.4,77.3,84.9,10821,v_7eCKseXC.I:
Physical Infrastructure,Default,ecbrprq74,J:,107.4,62.4,22.8,2915,v_7eCKseXC.J:
Physical Infrastructure,Default,ecbrprq74,K:,107.4,62.5,107.7,482,v_7eCKseXC.K:
Physical Infrastructure,Default,ecbrprq74,L:,107.4,59.1,0.1,6,v_7eCKseXC.L:
Physical Infrastructure,Default,ecbrprq74,M:,107.4,59.6,31.1,126,v_7eCKseXC.M:
Physical Infrastructure,Default,ecbrprq74,N:,214.7,150.3,101.8,504,v_7eCKseXC.N:
Physical Infrastructure,Default,ecbrprq74,O:,107.4,39.1,22.6,2890,v_7eCKseXC.O:
Physical Infrastructure,Default,ecbrprq74,P:,107.4,36.8,102.7,424,v_7eCKseXC.P:
Physical Infrastructure,Default,ecbrprq74,Q:,107.4,23.6,111.9,472,v_7eCKseXC.Q:
Physical Infrastructure,Default,ecbrprq74,R:,107.4,17.4,116.4,488,v_7eCKseXC.R:
Physical Infrastructure,Default,ECBRPRW48,C:,160.5,114.7,75.4,2810,v_7pTtLFWv.C:
Physical Infrastructure,Default,ECBRPRW48,D:,53.7,10.1,1.3,25,v_7pTtLFWv.D:
Physical Infrastructure,Default,ECBRPRW43,D:,268.4,32.7,0,0,v_9G7uiVSm.D:
Physical Infrastructure,Default,ECBRPRW43,C:,85.3,48.8,88.6,685,v_9G7uiVSm.C:
Physical Infrastructure,Default,ECBRPRQ69,C:,106.8,53.6,2.7,277,v_9UxDKEPC.C:
Physical Infrastructure,Default,ECBRPRQ69,D:,42.9,19.4,12.7,526,v_9UxDKEPC.D:
Physical Infrastructure,Default,ECBRPRQ69,E:,268.4,110,184.1,1719,v_9UxDKEPC.E:
Physical Infrastructure,Default,ECBRPRQ69,F:,268.4,137.6,199.7,1962,v_9UxDKEPC.F:
Physical Infrastructure,Default,ECBRPRQ69,G:,214.7,57.8,84.2,348,v_9UxDKEPC.G:
Physical Infrastructure,Default,ECBRPRQ69,H:,268.4,105.5,109.9,558,v_9UxDKEPC.H:
Physical Infrastructure,Default,ECBRPRQ69,I:,268.4,184.7,307.3,1257,v_9UxDKEPC.I:
Physical Infrastructure,Default,ECBRPRQ69,J:,268.4,188.6,320.4,1468,v_9UxDKEPC.J:
Physical Infrastructure,Default,ECBRPRQ69,K:,214.7,139,190.1,801,v_9UxDKEPC.K:
Physical Infrastructure,Default,ECBRPRQ69,L:,214.7,79.3,109.1,448,v_9UxDKEPC.L:
Physical Infrastructure,Default,ECBRPRQ69,M:,214.7,7.9,221.7,1111,v_9UxDKEPC.M:
Physical Infrastructure,Default,ECBRPRQ69,Z:,75.1,0.1,0,0,v_9UxDKEPC.Z:
Physical Infrastructure,Default,ECBRPRAP7,C:,160.5,43,18.8,1659,v_9z6V9jfj.C:
Physical Infrastructure,Default,ECBRPRAP7,D:,214.7,117.9,0.2,21,v_9z6V9jfj.D:
Physical Infrastructure,Default,ECBRPRW62,C:,160.5,41,46.7,1084,v_AjNxO11Y.C:
Physical Infrastructure,Default,ECBRPRW62,D:,53.7,8.5,0,0,v_AjNxO11Y.D:
Physical Infrastructure,Default,ECBRPRCL13,J:,536.7,175.6,151.7,5505,v_BT6ptkg5.J:
Physical Infrastructure,Default,ECBRPRCL13,I:,160.9,64.1,294.9,1241,v_BT6ptkg5.I:
Physical Infrastructure,Default,ECBRPRCL13,Q:,5.3,0.1,0.1,6,v_BT6ptkg5.Q:
Physical Infrastructure,Default,ECBRPRCL13,K:,536.7,242.8,244.8,2565,v_BT6ptkg5.K:
Physical Infrastructure,Default,ECBRPRCL13,L:,160.9,86,650.1,10393,v_BT6ptkg5.L:
Physical Infrastructure,Default,ECBRPRCL13,M:,107.2,23.1,43.3,241,v_BT6ptkg5.M:
Physical Infrastructure,Default,ECBRPRCL13,O:,268.3,151.9,139.6,1796,v_BT6ptkg5.O:
Physical Infrastructure,Default,ECBRPRCL13,B:,268.3,104.2,480.7,6604,v_BT6ptkg5.B:
Physical Infrastructure,Default,ECBRPRCL13,C:,96,58.9,99.1,855,v_BT6ptkg5.C:
Physical Infrastructure,Default,ECBRPRCL13,D:,53.6,22.9,0,0,v_BT6ptkg5.D:
Physical Infrastructure,Default,ECBRPRCL13,E:,107.2,48.9,599,2400,v_BT6ptkg5.E:
Physical Infrastructure,Default,ECBRPRCL13,G:,160.9,14.8,447.3,1832,v_BT6ptkg5.G:
Physical Infrastructure,Default,ecbrprw60,C:,225,49.4,21,454,v_BajS5Ndo.C:
Physical Infrastructure,Default,ecbrprw60,D:,123.5,96.9,3.1,677,v_BajS5Ndo.D:
Physical Infrastructure,Default,ecbrprw60,J:,21.4,11.1,0,0,v_BajS5Ndo.J:
Physical Infrastructure,Default,ECBRPRAP13,C:,257.2,114.4,1.9,272,v_Bi87uVK4.C:
Physical Infrastructure,Default,ECBRPRAP13,D:,107.4,53.7,0,0,v_Bi87uVK4.D:
Physical Infrastructure,Default,ECBRPRQ73,C:,64.3,34.3,3.9,371,v_CLNn9fxL.C:
Physical Infrastructure,Default,ECBRPRQ73,D:,53.7,12.9,0.2,31,v_CLNn9fxL.D:
Physical Infrastructure,Default,ECBRPRQ73,E:,64.4,8.7,6.9,118,v_CLNn9fxL.E:
Physical Infrastructure,Default,ECBRPRQ73,F:,96.6,10.3,0.1,20,v_CLNn9fxL.F:
Physical Infrastructure,Default,ECBRPRQ73,G:,214.7,16,0.1,6,v_CLNn9fxL.G:
Physical Infrastructure,Default,ECBRPRW47,C:,160.5,90.9,18.5,1426,v_COjsdds0.C:
Physical Infrastructure,Default,ECBRPRW47,D:,53.7,6,0.1,17,v_COjsdds0.D:
Physical Infrastructure,Default,ECBRPRAP26,C:,64.3,35.6,14.9,444,v_DcUT7enV.C:
Physical Infrastructure,Default,ECBRPRAP26,D:,53.7,1,0.2,3,v_DcUT7enV.D:
Physical Infrastructure,Default,ecbrprq45,C:,160.5,90.4,13.5,298,v_EHimapnq.C:
Physical Infrastructure,Default,ecbrprq45,D:,891.2,455.5,363.1,1540,v_EHimapnq.D:
Physical Infrastructure,Default,ecbrprq45,E:,805.3,521.5,250.7,2831,v_EHimapnq.E:
Physical Infrastructure,Default,ecbrprq45,F:,697.9,499.6,0,0,v_EHimapnq.F:
Physical Infrastructure,Default,ecbrprq45,G:,536.9,289.9,0,0,v_EHimapnq.G:
Physical Infrastructure,Default,ecbrprq45,H:,536.9,311.7,86.7,362,v_EHimapnq.H:
Physical Infrastructure,Default,ecbrprq45,I:,805.3,570.6,369.2,4298,v_EHimapnq.I:
Physical Infrastructure,Default,ecbrprq45,J:,805.3,605.8,291.8,3664,v_EHimapnq.J:
Physical Infrastructure,Default,ecbrprq45,L:,279.2,15.8,0.3,116,v_EHimapnq.L:
Physical Infrastructure,Default,ecbrprq45,M:,268.3,155.1,0.5,62,v_EHimapnq.M:
Physical Infrastructure,Default,ecbrprq45,N:,268.3,205.3,3.7,472,v_EHimapnq.N:
Physical Infrastructure,Default,ecbrprq45,O:,268.3,168.5,0,2,v_EHimapnq.O:
Physical Infrastructure,Default,ecbrprq45,R:,536.9,397.8,127.6,526,v_EHimapnq.R:
Physical Infrastructure,Default,ecbrprq45,T:,85.9,6.9,0.2,25,v_EHimapnq.T:
Physical Infrastructure,Default,ecbrprq45,Y:,644.2,421.1,0,0,v_EHimapnq.Y:
Physical Infrastructure,Default,ecbrprq45,Z:,322.1,0.5,81.5,824,v_EHimapnq.Z:
Physical Infrastructure,Default,ECBRPRTI08,C:,85.8,52.4,177.6,1035,v_EQrW1cgx.C:
Physical Infrastructure,Default,ECBRPRTI08,D:,32.2,4.5,0,0,v_EQrW1cgx.D:
Physical Infrastructure,Default,ecbrprq50,C:,160.5,70.2,42.2,857,v_FPELBdLd.C:
