VM,Powerstate,Template,SRM Placeholder,# CPU,Sockets,# Cores,Max,Overall,Level,Shares,Reservation,Entitlement,DRS Entitlement,Limit,Hot Add,Hot Remove,Annotation,NB_LAST_BACKUP,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VMs,VI SDK Server,VI SDK UUID
ecbrprlxdn02,poweredOn,False,False,8,8,1,20752,233,normal,8000,0,2413,207,-1,False,False,,"Sat Jul  5 18:00:19 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_2",DCP,Cluster_Quito,ecbrprsx16.bgr.com,/DCP,Ubuntu Linux (64-bit),Ubuntu Linux (64-bit),vm-10176,422ea39b-492d-272e-8258-57a9659f1e7d,,172.20.1.174,172.20.1.174
ecbrprlxgmor,poweredOn,False,False,4,4,1,9188,229,normal,4000,0,5527,321,-1,False,False,,"Sun Jul  6 02:00:06 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Cluster_BI",DCP,Cluster_BI,ecbrprsx31.bgr.com,/DCP,Ubuntu Linux (64-bit),Ubuntu Linux (64-bit),vm-10576,422ee028-3af3-d957-2ed1-bd3326114f14,,172.20.1.174,172.20.1.174
ecbrprlxgmtr,poweredOn,False,False,4,4,1,9188,68,normal,4000,0,5527,68,-1,False,False,,"Sun Jul  6 02:00:07 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Cluster_BI",DCP,Cluster_BI,ecbrprsx31.bgr.com,/DCP,Ubuntu Linux (64-bit),CentOS 7 (64-bit),vm-10577,422ebf36-eb05-943e-3a0b-667c301c4832,,172.20.1.174,172.20.1.174
ecbrprmd1,poweredOn,False,False,4,4,1,11972,2663,normal,4000,0,1212,2783,-1,True,False,,"Sat Jul  5 08:00:14 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_1",DCP,Cluster_Quito,ecbrprsx20.bgr.com,/DCP,Red Hat Enterprise Linux 8 (64-bit),Red Hat Enterprise Linux 8 (64-bit),vm-12030,422e7e7c-a8e3-f7ee-1c32-7db70a240604,,172.20.1.174,172.20.1.174
ecbrprmd3,poweredOn,False,False,4,4,1,11972,299,normal,4000,0,1212,329,-1,False,False,,,DCP,Cluster_Quito,ecbrprsx21.bgr.com,/DCP,Red Hat Enterprise Linux 9 (64-bit),Red Hat Enterprise Linux 9 (64-bit),vm-54812,422e650d-826c-d273-2d71-b15d42c0c4d1,,172.20.1.174,172.20.1.174
ecbrprmn01,poweredOn,False,False,4,4,1,10376,207,normal,4000,0,1212,207,-1,True,False,,"Sat Jul  5 18:00:19 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_2",DCP,Cluster_Quito,ecbrprsx15.bgr.com,/DCP,SUSE Linux Enterprise 11 (64-bit),SUSE Linux Enterprise 11 (64-bit),vm-461,423ee0a8-3c46-e5b7-8160-52226f1a46ca,,172.20.1.174,172.20.1.174
ecbrprnbk03,poweredOn,False,False,12,6,2,35916,568,normal,12000,0,3614,538,-1,True,False,,"Wed Jul  9 00:08:15 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_02",DCP,Cluster_Quito,ecbrprsx22.bgr.com,/DCP,Microsoft Windows Server 2022 (64-bit),Microsoft Windows Server 2022 (64-bit),vm-18556,422e3985-344e-3676-4650-eb560d27b322,,172.20.1.174,172.20.1.174
ecbrprpocq03,poweredOn,False,False,8,4,2,20752,389,normal,8000,0,2412,389,-1,True,False,RFC 2025-001385 servidor temporal de base de datos sql server 2019 requerido para las pruebas en Agencia para el proyecto Migración Core Siglo 21,,DCP,Cluster_Quito,ecbrprsx15.bgr.com,/DCP,Microsoft Windows Server 2022 (64-bit),Microsoft Windows Server 2022 (64-bit),vm-57944,422eb6b1-0977-1bbb-d6d9-2b6dd53fa44b,,172.20.1.174,172.20.1.174
ecbrprq21,poweredOn,False,False,4,4,1,10376,1400,normal,4000,0,1212,1245,-1,True,False,,"Sun Jul  6 17:00:12 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_BDD_Std_noCL",DCP,Cluster_Quito,ecbrprsx18.bgr.com,/DCP,Microsoft Windows Server 2008 R2 (64-bit),Microsoft Windows Server 2008 R2 (64-bit),vm-1685,420b0e1a-af50-f799-c953-e1b2bc35cffe,,172.20.1.174,172.20.1.174
ecbrprq23,poweredOff,False,False,2,2,1,5188,0,normal,2000,0,0,0,-1,True,False,"17/06/2025 apagado solicitado en el RFC 2025-001072 por Rodas Mahauad, Rosita Yalile","Tue Jun 17 20:00:15 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx15.bgr.com,/DCP,Microsoft Windows Server 2008 R2 (64-bit),Microsoft Windows Server 2008 R2 (64-bit),vm-5391,422e8f5d-997d-60aa-43b8-fe27dace0ab2,,172.20.1.174,172.20.1.174
